hindi,marathi,roman,situation,note,status
नमस्ते,नमस्कार,namaste,greeting,,draft
सुप्रभात,शुभ सकाळ,suprabhat,greeting,,draft
शुभ रात्रि,शुभ रात्री,shubh ratri,greeting,,draft
आप कैसे हैं?,तुम्ही कसे आहात?,aap kaise hain,greeting,to a man or a group,draft
आप कैसी हैं?,तुम्ही कशा आहात?,aap kaisi hain,greeting,to a woman,draft
तुम कैसे हो?,तू कसा आहेस?,tum kaise ho,greeting,casual — to a man,draft
तुम कैसी हो?,तू कशी आहेस?,tum kaisi ho,greeting,casual — to a woman,draft
क्या हाल है?,काय कसं काय?,kya haal hai,greeting,very casual,draft
मैं ठीक हूँ,मी ठीक आहे,main theek hoon,greeting,,draft
सब ठीक है,सगळं ठीक आहे,sab theek hai,greeting,,draft
और आप?,आणि तुम्ही?,aur aap,greeting,,draft
बहुत दिनों बाद मिले,खूप दिवसांनी भेटलो,bahut dinon baad mile,greeting,male speaker — female says भेटले,draft
फिर मिलेंगे,पुन्हा भेटू,phir milenge,greeting,,draft
कल मिलते हैं,उद्या भेटू,kal milte hain,greeting,,draft
अच्छा चलता हूँ,चला मी येतो,achha chalta hoon,greeting,Marathi says 'I'll come' when leaving — female: येते,draft
ध्यान रखना,काळजी घ्या,dhyan rakhna,greeting,,draft
स्वागत है,स्वागत आहे,swagat hai,greeting,,draft
आइए,या,aaiye,greeting,,draft
बैठिए,बसा,baithiye,greeting,,draft
आपका नाम क्या है?,तुमचं नाव काय आहे?,aapka naam kya hai,intro,,draft
मेरा नाम ___ है,माझं नाव ___ आहे,mera naam hai,intro,,draft
आप कहाँ से हैं?,तुम्ही कुठून आलात?,aap kahan se hain,intro,,draft
मैं मुंबई से हूँ,मी मुंबईचा आहे,main mumbai se hoon,intro,male — female says मुंबईची,draft
आपसे मिलकर खुशी हुई,तुम्हाला भेटून आनंद झाला,aapse milkar khushi hui,intro,,draft
आप क्या करते हैं?,तुम्ही काय करता?,aap kya karte hain,intro,,draft
मैं नौकरी करता हूँ,मी नोकरी करतो,main naukri karta hoon,intro,male — female करते,draft
मैं पढ़ता हूँ,मी शिकतो,main padhta hoon,intro,male — female शिकते,draft
आप कहाँ रहते हैं?,तुम्ही कुठे राहता?,aap kahan rehte hain,intro,,draft
मैं यहीं रहता हूँ,मी इथेच राहतो,main yahin rehta hoon,intro,male — female राहते,draft
आपकी उम्र क्या है?,तुमचं वय काय आहे?,aapki umra kya hai,intro,,draft
क्या आप शादीशुदा हैं?,तुमचं लग्न झालं आहे का?,kya aap shaadishuda hain,intro,,draft
