hi,mr,en,hi_gender,mr_gender,mr_oblique,honorific,category
स्टेशन,स्टेशन,station,n,n,स्टेशन,,place
बस स्टॉप,बस स्टॉप,bus stop,m,m,बस स्टॉप,,place
अस्पताल,हॉस्पिटल,hospital,m,n,हॉस्पिटल,,place
दवाई की दुकान,मेडिकल,chemist,f,n,मेडिकल,,place
बैंक,बँक,bank,m,f,बँके,,place
एटीएम,एटीएम,ATM,m,n,एटीएम,,place
डाकघर,पोस्ट ऑफिस,post office,m,n,पोस्ट ऑफिस,,place
पुलिस स्टेशन,पोलीस स्टेशन,police station,n,n,पोलीस स्टेशन,,place
बाज़ार,बाजार,market,m,m,बाजारा,,place
दुकान,दुकान,shop,f,n,दुकाना,,place
मंदिर,मंदिर,temple,n,n,मंदिरा,,place
मस्जिद,मशीद,mosque,f,f,मशिदी,,place
स्कूल,शाळा,school,m,f,शाळे,,place
कॉलेज,कॉलेज,college,n,n,कॉलेज,,place
ऑफिस,ऑफिस,office,n,n,ऑफिस,,place
घर,घर,home,n,n,घरा,,place
होटल,हॉटेल,hotel,n,n,हॉटेल,,place
रेस्टोरेंट,रेस्टॉरंट,restaurant,n,n,रेस्टॉरंट,,place
बाथरूम,बाथरूम,bathroom,n,n,बाथरूम,,place
लिफ़्ट,लिफ्ट,lift,f,f,लिफ्ट,,place
गेट,गेट,gate,n,n,गेट,,place
पार्किंग,पार्किंग,parking,f,f,पार्किंग,,place
पेट्रोल पंप,पेट्रोल पंप,petrol pump,m,m,पेट्रोल पंपा,,place
बाग़,बाग,garden,m,f,बागे,,place
थिएटर,थिएटर,cinema,n,n,थिएटर,,place
मॉल,मॉल,mall,m,m,मॉला,,place
एयरपोर्ट,विमानतळ,airport,m,n,विमानतळा,,place
मैदान,मैदान,ground,n,n,मैदाना,,place
चौक,चौक,square,m,m,चौका,,place
गली,गल्ली,lane,f,f,गल्ली,,place
पानी,पाणी,water,n,n,पाण्या,,food
चाय,चहा,tea,f,m,चहा,,food
दूध,दूध,milk,n,n,दुधा,,food
खाना,जेवण,food,n,n,जेवणा,,food
रोटी,पोळी,flatbread,f,f,पोळी,,food
चावल,भात,rice,m,m,भाता,,food
चीनी,साखर,sugar,f,f,साखरे,,food
नमक,मीठ,salt,n,n,मिठा,,food
तेल,तेल,oil,n,n,तेला,,food
अंडा,अंडं,egg,m,n,अंड्या,,food
सब्ज़ी,भाजी,vegetable,f,f,भाजी,,food
फल,फळ,fruit,n,n,फळा,,food
आलू,बटाटा,potato,m,m,बटाट्या,,food
प्याज़,कांदा,onion,m,m,कांद्या,,food
टमाटर,टोमॅटो,tomato,m,m,टोमॅटो,,food
नींबू,लिंबू,lemon,m,n,लिंबा,,food
केला,केळं,banana,m,n,केळ्या,,food
आम,आंबा,mango,m,m,आंब्या,,food
सेब,सफरचंद,apple,m,n,सफरचंदा,,food
दही,दही,curd,n,n,दह्या,,food
टिकट,तिकीट,ticket,n,n,तिकिटा,,thing
पैसे,पैसे,money,m,m,पैशा,,thing
चाबी,किल्ली,key,f,f,किल्ली,,thing
फ़ोन,फोन,phone,m,m,फोना,,thing
चार्जर,चार्जर,charger,m,n,चार्जर,,thing
बैग,बॅग,bag,m,f,बॅगे,,thing
छाता,छत्री,umbrella,m,f,छत्री,,thing
कपड़े,कपडे,clothes,m,m,कपड्या,,thing
जूते,बूट,shoes,m,m,बुटा,,thing
कागज़,कागद,paper,m,m,कागदा,,thing
फ़ॉर्म,फॉर्म,form,m,m,फॉर्मा,,thing
रसीद,पावती,receipt,f,f,पावती,,thing
बिल,बिल,bill,n,n,बिला,,thing
कार्ड,कार्ड,card,n,n,कार्डा,,thing
चश्मा,चष्मा,spectacles,m,m,चष्म्या,,thing
साबुन,साबण,soap,m,m,साबणा,,thing
तौलिया,टॉवेल,towel,m,m,टॉवेला,,thing
कुर्सी,खुर्ची,chair,f,f,खुर्ची,,thing
मेज़,टेबल,table,f,n,टेबला,,thing
दवा,औषध,medicine,f,n,औषधा,,thing
किताब,पुस्तक,book,f,n,पुस्तका,,thing
पेन,पेन,pen,m,n,पेना,,thing
घड़ी,घड्याळ,watch,f,n,घड्याळा,,thing
बटुआ,पाकीट,wallet,m,n,पाकिटा,,thing
गाड़ी,गाडी,vehicle,f,f,गाडी,,transport
ट्रेन,ट्रेन,train,f,f,ट्रेन,,transport
बस,बस,bus,f,f,बस,,transport
रिक्शा,रिक्षा,auto rickshaw,m,f,रिक्षा,,transport
टैक्सी,टॅक्सी,taxi,f,f,टॅक्सी,,transport
स्कूटर,स्कूटर,scooter,f,f,स्कूटर,,transport
साइकिल,सायकल,bicycle,f,f,सायकल,,transport
नाव,होडी,boat,f,f,होडी,,transport
