id,hi_m,hi_f,hi_n,mr_m,mr_f,mr_n,en,form,takes,note
p01,{X} कहाँ है?,{X} कहाँ है?,{X} कहाँ है?,{X} कुठे आहे?,{X} कुठे आहे?,{X} कुठे आहे?,where is the {X}?,direct,place|thing|transport,
p02,{X} कहाँ मिलेगा?,{X} कहाँ मिलेगी?,{X} कहाँ मिलेगा?,{X} कुठे मिळेल?,{X} कुठे मिळेल?,{X} कुठे मिळेल?,where can I get {X}?,direct,thing|food,
p03,मुझे {X} चाहिए,मुझे {X} चाहिए,मुझे {X} चाहिए,मला {X} हवा आहे,मला {X} हवी आहे,मला {X} हवं आहे,I need {X},direct,thing|food|transport,
p04,{X} दीजिए,{X} दीजिए,{X} दीजिए,{X} द्या,{X} द्या,{X} द्या,please give me {X},direct,thing|food,
p05,{X} कितने का है?,{X} कितने की है?,{X} कितने का है?,{X} किती रुपयांना?,{X} किती रुपयांना?,{X} किती रुपयांना?,how much is the {X}?,direct,thing|food,
p06,क्या {X} है?,क्या {X} है?,क्या {X} है?,{X} आहे का?,{X} आहे का?,{X} आहे का?,is there {X}? / do you have {X}?,direct,thing|food|place,
p07,{X} नहीं है,{X} नहीं है,{X} नहीं है,{X} नाही,{X} नाही,{X} नाही,there is no {X},direct,thing|food|place,
p08,{X} बंद है,{X} बंद है,{X} बंद है,{X} बंद आहे,{X} बंद आहे,{X} बंद आहे,the {X} is closed,direct,place,
p09,{X} खुला है?,{X} खुली है?,{X} खुला है?,{X} उघडा आहे का?,{X} उघडी आहे का?,{X} उघडं आहे का?,is the {X} open?,direct,place,
p10,{X} कितनी दूर है?,{X} कितनी दूर है?,{X} कितनी दूर है?,{X} किती लांब आहे?,{X} किती लांब आहे?,{X} किती लांब आहे?,how far is the {X}?,direct,place,
p11,{X} पास में है?,{X} पास में है?,{X} पास में है?,{X} जवळ आहे का?,{X} जवळ आहे का?,{X} जवळ आहे का?,is the {X} nearby?,direct,place,
p12,मुझे {X} जाना है,मुझे {X} जाना है,मुझे {X} जाना है,मला {X}ला जायचं आहे,मला {X}ला जायचं आहे,मला {X}ला जायचं आहे,I want to go to the {X},oblique,place,
p13,{X} चलिए,{X} चलिए,{X} चलिए,{X}ला चला,{X}ला चला,{X}ला चला,take me to the {X},oblique,place,
p14,{X} तक कितना लगेगा?,{X} तक कितना लगेगा?,{X} तक कितना लगेगा?,{X}पर्यंत किती होईल?,{X}पर्यंत किती होईल?,{X}पर्यंत किती होईल?,how much to the {X}?,oblique,place,
p15,{X} के पास रोकिए,{X} के पास रोकिए,{X} के पास रोकिए,{X}जवळ थांबा,{X}जवळ थांबा,{X}जवळ थांबा,stop near the {X},oblique,place,
p17,मैं {X} में हूँ,मैं {X} में हूँ,मैं {X} में हूँ,मी {X}मध्ये आहे,मी {X}मध्ये आहे,मी {X}मध्ये आहे,I'm in the {X},oblique,place|transport,
