hindi,marathi,english,roman,situation,note,status
नमस्ते,नमस्कार,hello / greetings,namaste,greeting,,draft
सुप्रभात,शुभ सकाळ,good morning,suprabhat,greeting,,draft
शुभ रात्रि,शुभ रात्री,good night,shubh ratri,greeting,,draft
आप कैसे हैं?,तुम्ही कसे आहात?,how are you? (to a man or group),aap kaise hain,greeting,to a man or a group,draft
आप कैसी हैं?,तुम्ही कशा आहात?,how are you? (to a woman),aap kaisi hain,greeting,to a woman,draft
तुम कैसे हो?,तू कसा आहेस?,"how are you? (casual, to a man)",tum kaise ho,greeting,casual — to a man,draft
तुम कैसी हो?,तू कशी आहेस?,"how are you? (casual, to a woman)",tum kaisi ho,greeting,casual — to a woman,draft
क्या हाल है?,काय कसं काय?,how's it going?,kya haal hai,greeting,very casual,draft
मैं ठीक हूँ,मी ठीक आहे,I'm fine,main theek hoon,greeting,,draft
सब ठीक है,सगळं ठीक आहे,everything's fine,sab theek hai,greeting,,draft
और आप?,आणि तुम्ही?,and you?,aur aap,greeting,,draft
बहुत दिनों बाद मिले,खूप दिवसांनी भेटलो,long time no see,bahut dinon baad mile,greeting,male speaker — female says भेटले,draft
फिर मिलेंगे,पुन्हा भेटू,see you again,phir milenge,greeting,,draft
कल मिलते हैं,उद्या भेटू,see you tomorrow,kal milte hain,greeting,,draft
अच्छा चलता हूँ,चला मी येतो,"right, I'll be off",achha chalta hoon,greeting,Marathi says 'I'll come' when leaving — female: येते,draft
ध्यान रखना,काळजी घ्या,take care,dhyan rakhna,greeting,,draft
स्वागत है,स्वागत आहे,welcome,swagat hai,greeting,,draft
आइए,या,come in / please come,aaiye,greeting,,draft
बैठिए,बसा,please sit,baithiye,greeting,,draft
आपका नाम क्या है?,तुमचं नाव काय आहे?,what is your name?,aapka naam kya hai,intro,,draft
मेरा नाम ___ है,माझं नाव ___ आहे,my name is ___,mera naam hai,intro,,draft
आप कहाँ से हैं?,तुम्ही कुठून आलात?,where are you from?,aap kahan se hain,intro,,draft
मैं मुंबई से हूँ,मी मुंबईचा आहे,I'm from Mumbai,main mumbai se hoon,intro,male — female says मुंबईची,draft
आपसे मिलकर खुशी हुई,तुम्हाला भेटून आनंद झाला,pleased to meet you,aapse milkar khushi hui,intro,,draft
आप क्या करते हैं?,तुम्ही काय करता?,what do you do?,aap kya karte hain,intro,,draft
मैं नौकरी करता हूँ,मी नोकरी करतो,I have a job,main naukri karta hoon,intro,male — female करते,draft
मैं पढ़ता हूँ,मी शिकतो,I'm studying,main padhta hoon,intro,male — female शिकते,draft
आप कहाँ रहते हैं?,तुम्ही कुठे राहता?,where do you live?,aap kahan rehte hain,intro,,draft
मैं यहीं रहता हूँ,मी इथेच राहतो,I live right here,main yahin rehta hoon,intro,male — female राहते,draft
